id,trial,label,FC,TC,response,RT
113,0,baseline,0,0.1,0,0.3942834209992725
113,1,baseline,0,0.1,1,0.4811118220004573
113,2,baseline,0,0.07943282347242815,1,0.2960668230007286
113,3,baseline,0,0.06309573444801932,1,0.278332201000012
113,4,baseline,0,0.05011872336272722,1,0.4133437620002951
113,5,baseline,0,0.03981071705534971,0,99
113,6,baseline,0,0.05011872336272721,1,0.5460406239999429
113,7,baseline,0,0.03981071705534971,1,0.377628131000165
113,8,baseline,0,0.031622776601683784,1,0.3610456239985069
113,9,baseline,0,0.02511886431509579,0,0.2783304170006886
113,10,baseline,0,0.031622776601683784,1,0.5234623630003625
113,11,baseline,0,0.02511886431509579,1,0.658150575000036
113,12,baseline,0,0.01995262314968879,1,0.558161471000858
113,13,baseline,0,0.015848931924611127,0,0.732399827998961
113,14,baseline,0,0.01995262314968879,0,99
113,15,baseline,0,0.025118864315095794,1,1.2233103309990838
113,16,baseline_null,0,0.01995262314968879,0,1.0860738989995298
113,17,baseline_null,0,0.01995262314968879,0,1.1722492549997696
113,18,baseline,0,0.01995262314968879,0,0.8594152999994549
113,19,baseline,0,0.025118864315095794,1,1.0260942820004857
113,20,baseline,0,0.01995262314968879,0,0.8162745940007881
113,21,baseline_null,0,0.025118864315095794,0,0.7192548320017522
113,22,baseline,0,0.025118864315095794,0,0.30228524199992535
113,23,baseline,0,0.031622776601683784,0,0.49980264400073793
113,24,baseline,0,0.03981071705534971,1,0.6035437779992208
113,25,baseline,0,0.031622776601683784,1,1.0656587399989803
113,26,baseline,0,0.02511886431509579,0,0.8057673019993672
113,27,baseline,0,0.031622776601683784,1,0.9329821150004136
113,28,baseline_null,0,0.02511886431509579,0,0.9949946840006305
113,29,baseline,0,0.02511886431509579,0,0.831947159000265
113,30,baseline,0,0.031622776601683784,1,0.9818755639989831
113,31,baseline,0,0.02511886431509579,1,0.6431946689990582
113,32,baseline,0,0.01995262314968879,0,0.8101122719999694
113,33,baseline,0,0.025118864315095794,1,0.7050414599998476
113,34,baseline,0,0.01995262314968879,0,1.0151150509991567
113,35,baseline,0,0.025118864315095794,0,99
113,36,baseline,0,0.031622776601683784,1,0.6837069789999077
113,37,baseline,0,0.02511886431509579,0,0.6029155479991459
113,38,baseline,0,0.031622776601683784,0,0.8812769159994787
113,39,baseline,0,0.03981071705534971,1,0.512160367999968
113,40,baseline,0,0.031622776601683784,1,0.9897309509997285
113,41,baseline,0,0.02511886431509579,1,0.7507139820008888
113,42,baseline,0,0.01995262314968879,0,0.4250733429998945
113,43,baseline,0,0.025118864315095794,0,0.6962268449988187
113,44,baseline,0,0.031622776601683784,1,0.8221703749986773
113,45,baseline,0,0.02511886431509579,1,0.714938887000244
113,46,baseline,0,0.01995262314968879,0,0.753234470001189
113,47,baseline,0,0.025118864315095794,0,0.5601573839994671
113,48,baseline,0,0.031622776601683784,1,0.6534369029996014
113,49,baseline_null,0,0.02511886431509579,0,1.0515409689996886
113,50,baseline,0,0.02511886431509579,0,0.5466680749996158
113,51,baseline,0,0.031622776601683784,1,0.5534141160005674
113,52,baseline,0,0.02511886431509579,0,0.5116721859994868
113,53,baseline,0,0.031622776601683784,1,0.5511714999993274
113,54,baseline,0,0.02511886431509579,0,0.6787520249999943
113,55,baseline,0,0.031622776601683784,1,0.6864735449998989
113,56,baseline,0,0.02511886431509579,1,0.9393242369988002
113,57,baseline,0,0.01995262314968879,0,0.8187643890014442
113,58,baseline,0,0.025118864315095794,1,0.8263331210000615
113,59,baseline,0,0.01995262314968879,0,0.9665985499996168
