id,trial,TC,response,RT
20,0,0.1,0,99
20,1,0.1,1,0.39672988999518566
20,2,0.07943282347242815,1,0.5106608299975051
20,3,0.06309573444801932,1,0.5935065869998652
20,4,0.05011872336272722,1,0.5795109460013919
20,5,0.03981071705534971,1,0.8019386060041143
20,6,0.031622776601683784,1,0.6800189690111438
20,7,0.02511886431509579,1,0.5374506770021981
20,8,0.01995262314968879,1,0.2765055259951623
20,9,0.015848931924611127,1,0.20728694400168024
20,10,0.012589254117941666,1,0.48928909399546683
20,11,0.009999999999999995,1,0.5923244150035316
20,12,0.00794328234724281,0,0.6716021690081106
20,13,0.009999999999999995,0,99
20,14,0.012589254117941666,0,0.2235501739924075
20,15,0.015848931924611127,0,0.502634456002852
20,16,0.01995262314968879,0,0.4902649010036839
20,17,0.025118864315095794,1,0.7794164760125568
20,18,0.01995262314968879,0,0.650855016996502
20,19,0.025118864315095794,0,0.43248961499193683
