id,trial,label,FC,TC,response,RT
21,0,baseline_null,0,0.1,1,0.5086262430122588
21,1,baseline,0,0.1,1,0.34078526697703637
21,2,baseline_null,0,0.07943282347242815,0,0.4490950040053576
21,3,baseline_null,0,0.07943282347242815,0,0.5403945289726835
21,4,baseline,0,0.07943282347242815,1,0.4012491070025135
21,5,baseline,0,0.06309573444801932,1,0.3257916570000816
21,6,baseline,0,0.05011872336272722,1,0.2899735599930864
21,7,baseline,0,0.03981071705534971,1,0.3615336670191027
21,8,baseline,0,0.031622776601683784,1,0.4468501759984065
21,9,baseline,0,0.02511886431509579,1,0.4382257039833348
21,10,baseline,0,0.01995262314968879,0,0.30522368400124833
